33893678, 17137102, 9043288, 67828070, 103799187, 9967218, 390317144, 40209463, 4987884, 139047412, 145954587
38156778, 9623543, 8253575, 50420971, 63610372, 6550768, 238608065, 41288124, 3893059, 41685651, 44802367
36455200, 7511891, 7753816, 43900676, 49985715, 3959578, 176321864, 39712973, 2915805, 21009927, 18525217
36096981, 6342762, 7487938, 43316566, 42282282, 3468884, 163751140, 44169205, 2885440, 16025837, 14990767
35110372, 5520362, 7590854, 40367680, 34889788, 3187666, 142158716, 51169163, 2857785, 15092834, 14199722
34045244, 5191587, 7178300, 38856559, 32612736, 2485194, 102351978, 42161012, 3378323, 16847083, 12958507
32481921, 4313799, 7059506, 32743763, 30294025, 2237526, 86649010, 19640691, 3325027, 25395935, 12787520
31983104, 3417015, 5997108, 27567454, 28484115, 2266618, 76095886, 14424934, 2774866, 22460688, 15490032
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
